area,state,seed,action,time,frame,steps,config_id,reward,experiment.step_duration,compatibility_mode,filepath,experiment.update_freq,environment.zone,environment,algorithm
"[ 89.0625  85.6875  84.6875 123.375   77.75   167.75   138.     165.375
  79.875   94.0625  78.625  145.5     80.125   89.0625  78.75    60.5625
  87.1875  79.3125  63.4375  86.1875  67.5     95.875   70.8125 107.75
 124.5625  87.625  183.8125 120.6875  96.5625 109.625  118.6875 138.8125
  95.875  110.625   61.75    96.9375]",[1.74424176e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241789.9570012,30,31,-2625447392661257852,-0.023561905931564278,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 76.625   81.75   102.0625 121.5625  64.125  196.875  143.75   155.9375
  86.125   90.6875  88.6875 159.4375  78.4375  81.3125  78.4375  63.
  81.5625  69.      66.375   87.5     63.625  100.375   76.6875 112.8125
 119.75    82.     171.625  122.8125 101.875  157.4375 126.75   149.875
  92.9375 135.5625  65.0625  96.5   ]",[1.74424182e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241852.877577,31,32,-2625447392661257852,0.02947714688270708,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  85.4375   89.875   105.8125  109.5625   83.0625  154.4375  163.3125
  173.       71.4375   86.25     84.75    231.375    75.8125   81.375
   82.75     62.5625 1933.3125   84.4375   69.25     90.875   193.625
  104.4375   86.625   114.9375  133.6875   89.0625  172.      116.3125
  115.9375   98.25    116.      144.75     91.8125  132.125    72.1875
   94.375 ]",[1.74424189e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241916.7268734,32,33,-2625447392661257852,0.062221677048937364,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  88.375    87.8125   87.5     103.75     73.5625  209.1875  164.75
  159.125    74.375    89.      101.375   152.6875   86.875    81.125
   77.3125   63.8125 1945.5625   73.1875   63.375    92.125    71.3125
   99.875    69.9375  124.625   131.6875   88.375   181.375   125.75
   98.6875  157.0625  119.      152.25     93.75    134.3125   70.375
   95.6875]",[1.74424195e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241980.554774,33,34,-2625447392661257852,-0.022847943927642816,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 86.0625  94.8125  91.6875 115.9375  84.4375 183.1875 400.1875 170.375
  76.8125  90.6875 100.75   216.3125  78.25    92.5625  75.9375  60.0625
  93.1875  65.25    66.9375  99.8125  68.      97.4375  74.     109.5625
 130.875   92.5625 162.8125 135.8125 107.125   97.875  126.25   149.125
  97.875  130.0625  66.5625  93.0625]",[1.74424202e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744242045.0258484,34,35,-2625447392661257852,-0.02327265742086502,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 79.25    71.5     83.     105.5     68.8125 184.5625 137.75   155.375
  66.75    85.1875  83.5    116.3125  77.0625  77.125   77.      60.25
  84.875   72.3125  70.5     98.3125  57.4375 101.      89.375  145.9375
 112.1875  86.3125 172.1875 114.5     99.5    101.8125 113.125  143.9375
  86.875  122.25    63.4375  93.3125]",[1.74424208e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744242108.8870413,35,36,-2625447392661257852,-0.07308521551372585,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  81.8125   83.625   102.5625  124.125    66.1875  204.      366.9375
  162.       82.5625  100.75    103.1875  144.5625   84.       86.8125
   81.3125   66.9375 1985.1875   75.6875   64.25     97.5625   56.
   98.0625   87.6875  124.0625  129.       95.625   171.1875  124.9375
  105.1875  102.      112.125   144.0625   89.9375  123.       67.8125
   91.5   ]",[1.74424215e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744242172.4953587,36,37,-2625447392661257852,0.09117901274120012,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 83.875   98.125  104.9375 123.      80.0625 196.8125 129.75   172.4375
  90.875   88.125   92.     187.8125  98.125   81.9375  85.6875  67.25
  81.1875  76.625   67.125   92.875  186.875  102.75    78.75   118.875
 129.8125  86.1875 170.5    128.75   100.75   134.125  123.25   115.5625
  90.875  131.9375  68.25    96.625 ]",[1.74424221e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744242237.4718435,37,38,-2625447392661257852,0.01154853663079331,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 84.      87.0625 118.8125 120.75    79.6875 168.125  158.125  161.1875
  85.      93.25    94.3125 142.125   67.875   89.0625  76.625   67.125
  81.25    84.      66.1875  88.375   58.5625  97.3125  70.375  124.5625
 128.6875  94.5    158.375  118.     103.6875 101.25   111.5625 146.25
  87.25   120.3125  69.5625  95.5   ]",[1.74424228e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744242313.066027,38,39,-2625447392661257852,-0.051003564087237406,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 80.6875  70.9375  79.125  110.875   67.375  183.4375 394.5    157.
  94.0625  97.      90.4375 128.75    72.9375  76.75    84.3125  65.875
  85.375   75.4375  63.3125  93.125  216.25    98.6875  74.6875 119.375
 120.25    83.5    202.6875 124.75   118.125  104.25   117.5625 143.3125
  95.9375 117.5625  74.875   97.3125]",[1.74424237e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744242410.6637318,39,40,-2625447392661257852,0.00817849164020715,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
