S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_11:211		Capture_12:212		Capture_13:213		Capture_14:214		
371.864	-2	371.864	2	371.864	-3	371.864	-6	371.864	-3	371.864	2	371.864	-5	371.864	-1	371.864	-3	371.864	-6	371.864	-6	371.864	-6	371.864	-4	371.864	0	
372.32	0	372.32	1	372.32	1	372.32	-4	372.32	1	372.32	0	372.32	-1	372.32	4	372.32	1	372.32	0	372.32	0	372.32	-2	372.32	-2	372.32	2	
372.775	4	372.775	2	372.775	3	372.775	0	372.775	2	372.775	-1	372.775	0	372.775	4	372.775	0	372.775	6	372.775	3	372.775	3	372.775	2	372.775	-1	
373.23	-7	373.23	-4	373.23	-4	373.23	-2	373.23	0	373.23	-5	373.23	-2	373.23	-3	373.23	-8	373.23	-7	373.23	-4	373.23	-2	373.23	-5	373.23	-4	
373.686	-4	373.686	0	373.686	-4	373.686	0	373.686	0	373.686	-3	373.686	1	373.686	-2	373.686	-8	373.686	-4	373.686	3	373.686	-4	373.686	-2	373.686	-2	
374.141	-1	374.141	1	374.141	4	374.141	1	374.141	-4	374.141	-2	374.141	1	374.141	3	374.141	-3	374.141	-3	374.141	-1	374.141	0	374.141	-1	374.141	-3	
374.597	1	374.597	1	374.597	6	374.597	-2	374.597	1	374.597	0	374.597	3	374.597	-2	374.597	-2	374.597	0	374.597	-1	374.597	0	374.597	-4	374.597	-2	
375.053	-1	375.053	-1	375.053	0	375.053	1	375.053	-3	375.053	0	375.053	-1	375.053	0	375.053	-3	375.053	2	375.053	-3	375.053	2	375.053	-1	375.053	2	
375.508	1	375.508	0	375.508	4	375.508	5	375.508	1	375.508	1	375.508	1	375.508	1	375.508	0	375.508	3	375.508	3	375.508	0	375.508	1	375.508	4	
375.964	-5	375.964	-3	375.964	-3	375.964	0	375.964	-4	375.964	-6	375.964	1	375.964	0	375.964	-5	375.964	0	375.964	-2	375.964	-3	375.964	-2	375.964	-3	
376.42	-4	376.42	-6	376.42	-3	376.42	-5	376.42	-3	376.42	-3	376.42	-5	376.42	-1	376.42	-4	376.42	-1	376.42	-5	376.42	-3	376.42	-3	376.42	-2	
376.876	-9	376.876	-11	376.876	-12	376.876	-9	376.876	-11	376.876	-12	376.876	-11	376.876	-13	376.876	-9	376.876	-12	376.876	-12	376.876	-16	376.876	-8	376.876	-8	
377.332	0	377.332	-3	377.332	2	377.332	-1	377.332	1	377.332	4	377.332	2	377.332	2	377.332	1	377.332	-1	377.332	1	377.332	2	377.332	1	377.332	-6	
377.788	3	377.788	0	377.788	0	377.788	-4	377.788	0	377.788	2	377.788	1	377.788	4	377.788	1	377.788	-1	377.788	1	377.788	-3	377.788	1	377.788	-2	
378.244	0	378.244	2	378.244	-3	378.244	-1	378.244	2	378.244	-1	378.244	-2	378.244	-3	378.244	-1	378.244	-1	378.244	-1	378.244	-7	378.244	-5	378.244	-3	
378.701	0	378.701	3	378.701	3	378.701	4	378.701	4	378.701	4	378.701	1	378.701	3	378.701	1	378.701	0	378.701	-2	378.701	-1	378.701	-2	378.701	-1	
379.157	-8	379.157	0	379.157	-2	379.157	-1	379.157	-2	379.157	0	379.157	0	379.157	1	379.157	-2	379.157	0	379.157	0	379.157	-1	379.157	-2	379.157	-7	
379.614	0	379.614	3	379.614	0	379.614	1	379.614	3	379.614	-1	379.614	-3	379.614	1	379.614	6	379.614	0	379.614	-2	379.614	3	379.614	4	379.614	4	
380.07	-3	380.07	-1	380.07	-2	380.07	-1	380.07	-2	380.07	1	380.07	-3	380.07	-1	380.07	0	380.07	-1	380.07	-1	380.07	0	380.07	-1	380.07	-1	
380.527	1	380.527	6	380.527	4	380.527	2	380.527	0	380.527	-1	380.527	-2	380.527	-2	380.527	0	380.527	-3	380.527	-1	380.527	0	380.527	0	380.527	-3	
380.983	-5	380.983	-2	380.983	-1	380.983	-3	380.983	-4	380.983	-3	380.983	-2	380.983	-3	380.983	0	380.983	-4	380.983	-3	380.983	-1	380.983	-3	380.983	-2	
381.44	3	381.44	0	381.44	2	381.44	1	381.44	3	381.44	4	381.44	-2	381.44	1	381.44	0	381.44	-1	381.44	3	381.44	0	381.44	0	381.44	-2	
381.897	-6	381.897	-6	381.897	-2	381.897	-3	381.897	2	381.897	-5	381.897	-4	381.897	-5	381.897	-2	381.897	-4	381.897	-2	381.897	-2	381.897	-6	381.897	-2	
382.354	-1	382.354	-2	382.354	-2	382.354	-7	382.354	-2	382.354	-2	382.354	-4	382.354	-6	382.354	-6	382.354	0	382.354	-3	382.354	-2	382.354	-1	382.354	-3	
382.811	3	382.811	1	382.811	0	382.811	2	382.811	-2	382.811	-2	382.811	-3	382.811	-1	382.811	-2	382.811	-3	382.811	1	382.811	-1	382.811	-2	382.811	-2	
383.268	8	383.268	7	383.268	2	383.268	3	383.268	2	383.268	8	383.268	2	383.268	5	383.268	3	383.268	4	383.268	6	383.268	2	383.268	4	383.268	2	
383.725	1	383.725	-3	383.725	6	383.725	-1	383.725	4	383.725	1	383.725	0	383.725	0	383.725	-1	383.725	-2	383.725	2	383.725	2	383.725	3	383.725	2	
384.182	-3	384.182	1	384.182	0	384.182	1	384.182	0	384.182	1	384.182	2	384.182	1	384.182	-3	384.182	3	384.182	3	384.182	-1	384.182	3	384.182	1	
384.639	2	384.639	-2	384.639	-3	384.639	0	384.639	-1	384.639	1	384.639	2	384.639	1	384.639	0	384.639	-4	384.639	3	384.639	2	384.639	-1	384.639	2	
