S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_10:210		Capture_11:211		Capture_12:212		Capture_13:213		Capture_14:214		
387.384	-2	387.384	0	387.384	0	387.384	2	387.384	2	387.384	-1	387.384	4	387.384	0	387.384	6	387.384	1	387.384	6	387.384	2	387.384	1	387.384	4	387.384	2	
387.842	0	387.842	7	387.842	-1	387.842	1	387.842	4	387.842	2	387.842	2	387.842	-2	387.842	0	387.842	3	387.842	-1	387.842	4	387.842	3	387.842	2	387.842	-1	
388.3	8	388.3	4	388.3	2	388.3	-5	388.3	-1	388.3	-1	388.3	4	388.3	3	388.3	1	388.3	1	388.3	3	388.3	4	388.3	5	388.3	3	388.3	2	
388.758	2	388.758	4	388.758	6	388.758	2	388.758	0	388.758	0	388.758	1	388.758	3	388.758	6	388.758	1	388.758	-1	388.758	-1	388.758	-3	388.758	-2	388.758	-1	
389.216	-1	389.216	-4	389.216	-3	389.216	-5	389.216	0	389.216	-4	389.216	-4	389.216	-6	389.216	-3	389.216	-2	389.216	-6	389.216	1	389.216	-1	389.216	-5	389.216	-3	
389.674	2	389.674	1	389.674	1	389.674	2	389.674	3	389.674	0	389.674	1	389.674	6	389.674	4	389.674	2	389.674	3	389.674	5	389.674	4	389.674	2	389.674	6	
390.132	4	390.132	4	390.132	3	390.132	0	390.132	4	390.132	1	390.132	5	390.132	4	390.132	1	390.132	0	390.132	2	390.132	7	390.132	0	390.132	5	390.132	5	
390.59	0	390.59	1	390.59	4	390.59	3	390.59	4	390.59	7	390.59	6	390.59	3	390.59	4	390.59	4	390.59	3	390.59	5	390.59	4	390.59	1	390.59	3	
391.049	4	391.049	2	391.049	0	391.049	5	391.049	1	391.049	5	391.049	1	391.049	2	391.049	-1	391.049	0	391.049	-3	391.049	1	391.049	-2	391.049	3	391.049	-1	
391.507	0	391.507	-3	391.507	-4	391.507	0	391.507	-2	391.507	-1	391.507	-3	391.507	-2	391.507	0	391.507	-4	391.507	-2	391.507	-1	391.507	-4	391.507	1	391.507	1	
391.965	-4	391.965	2	391.965	1	391.965	-3	391.965	3	391.965	0	391.965	1	391.965	3	391.965	3	391.965	2	391.965	-2	391.965	-1	391.965	1	391.965	-1	391.965	1	
392.424	0	392.424	0	392.424	3	392.424	-1	392.424	1	392.424	1	392.424	4	392.424	2	392.424	-1	392.424	1	392.424	0	392.424	-2	392.424	0	392.424	1	392.424	1	
392.882	1	392.882	2	392.882	6	392.882	4	392.882	3	392.882	-1	392.882	1	392.882	2	392.882	7	392.882	1	392.882	3	392.882	3	392.882	4	392.882	1	392.882	4	
393.341	-5	393.341	-3	393.341	0	393.341	-3	393.341	-4	393.341	-6	393.341	-2	393.341	1	393.341	3	393.341	1	393.341	-2	393.341	-3	393.341	-2	393.341	-4	393.341	1	
393.8	-4	393.8	-2	393.8	0	393.8	-3	393.8	-5	393.8	-4	393.8	0	393.8	-2	393.8	-5	393.8	1	393.8	0	393.8	0	393.8	-3	393.8	-3	393.8	-2	
394.259	1	394.259	1	394.259	-1	394.259	0	394.259	-2	394.259	0	394.259	1	394.259	2	394.259	-1	394.259	2	394.259	2	394.259	-1	394.259	-1	394.259	1	394.259	0	
394.718	4	394.718	1	394.718	1	394.718	-1	394.718	7	394.718	4	394.718	5	394.718	0	394.718	0	394.718	-1	394.718	-1	394.718	0	394.718	6	394.718	2	394.718	-2	
395.176	5	395.176	6	395.176	2	395.176	0	395.176	2	395.176	0	395.176	1	395.176	6	395.176	6	395.176	-2	395.176	3	395.176	3	395.176	3	395.176	3	395.176	2	
395.635	2	395.635	2	395.635	5	395.635	0	395.635	-1	395.635	4	395.635	-1	395.635	3	395.635	2	395.635	2	395.635	5	395.635	-3	395.635	5	395.635	0	395.635	1	
396.095	2	396.095	4	396.095	5	396.095	4	396.095	7	396.095	5	396.095	0	396.095	7	396.095	2	396.095	7	396.095	3	396.095	3	396.095	-2	396.095	-1	396.095	3	
396.554	3	396.554	5	396.554	2	396.554	1	396.554	3	396.554	4	396.554	0	396.554	-2	396.554	0	396.554	2	396.554	-2	396.554	5	396.554	5	396.554	3	396.554	4	
397.013	-2	397.013	-5	397.013	-7	397.013	-4	397.013	0	397.013	-5	397.013	-6	397.013	-4	397.013	-1	397.013	-5	397.013	-6	397.013	-4	397.013	1	397.013	-5	397.013	-7	
397.472	0	397.472	5	397.472	0	397.472	1	397.472	0	397.472	1	397.472	-2	397.472	2	397.472	2	397.472	-2	397.472	0	397.472	-1	397.472	2	397.472	-2	397.472	2	
397.932	-5	397.932	-1	397.932	0	397.932	-4	397.932	-3	397.932	-5	397.932	-2	397.932	-4	397.932	-2	397.932	-1	397.932	-5	397.932	-4	397.932	-9	397.932	-4	397.932	-1	
398.391	2	398.391	1	398.391	3	398.391	1	398.391	2	398.391	3	398.391	1	398.391	-2	398.391	-1	398.391	3	398.391	2	398.391	-1	398.391	0	398.391	0	398.391	-2	
398.851	-5	398.851	-4	398.851	0	398.851	1	398.851	1	398.851	-4	398.851	3	398.851	1	398.851	0	398.851	0	398.851	2	398.851	-3	398.851	0	398.851	-1	398.851	-2	
399.31	1	399.31	1	399.31	-1	399.31	1	399.31	1	399.31	-2	399.31	0	399.31	4	399.31	3	399.31	-2	399.31	0	399.31	0	399.31	1	399.31	-3	399.31	-2	
399.77	-4	399.77	-4	399.77	-4	399.77	-10	399.77	-5	399.77	-12	399.77	-6	399.77	-8	399.77	-8	399.77	-2	399.77	-9	399.77	-7	399.77	-13	399.77	-9	399.77	-7	
400.23	0	400.23	2	400.23	4	400.23	3	400.23	4	400.23	3	400.23	7	400.23	6	400.23	3	400.23	3	400.23	2	400.23	-3	400.23	-1	400.23	2	400.23	-1	
