DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -5.99930639, -14.16577791, -12.50070603,  -6.05827775])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -6.13612349, -14.16577791, -12.50070603,  -6.05827775])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -6.26490835, -14.16577791, -12.50070603,  -6.05827775])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -6.26490835, -14.16577791, -12.50070603,  -6.19516915])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -6.26490835, -14.16577791, -12.50070603,  -6.33103386])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -6.26490835, -14.16577791, -12.50070603,  -6.45992829])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -6.40073757, -14.16577791, -12.50070603,  -6.45992829])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -6.53554807, -14.16577791, -12.50070603,  -6.45992829])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -6.66254171, -14.16577791, -12.50070603,  -6.45992829])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -6.66254171, -14.16577791, -12.50070603,  -6.59480139])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -6.66254171, -14.16577791, -12.50070603,  -6.72866295])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -6.66254171, -14.16577791, -12.50070603,  -6.85556963])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -6.79637778, -14.16577791, -12.50070603,  -6.85556963])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -6.92921008, -14.16577791, -12.50070603,  -6.85556963])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -7.0544185 , -14.16577791, -12.50070603,  -6.85556963])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -7.0544185 , -14.16577791, -12.50070603,  -6.98845511])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -7.0544185 , -14.16577791, -12.50070603,  -7.12034395])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -7.0544185 , -14.16577791, -12.50070603,  -7.24531034])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -7.18628985, -14.16577791, -12.50070603,  -7.24531034])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -7.31717216, -14.16577791, -12.50070603,  -7.24531034])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -7.44060529, -14.16577791, -12.50070603,  -7.24531034])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -7.44060529, -14.16577791, -12.50070603,  -7.37623823])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -7.44060529, -14.16577791, -12.50070603,  -7.50618417])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -7.44060529, -14.16577791, -12.50070603,  -7.62925341])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -7.57054009, -14.16577791, -12.50070603,  -7.62925341])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -7.69950039, -14.16577791, -12.50070603,  -7.62925341])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -7.82117125, -14.16577791, -12.50070603,  -7.62925341])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -7.82117125, -14.16577791, -12.50070603,  -7.75825315])}
