time,steps,action,reward,seed,config_id,area,frame,state,experiment.update_freq,lambda,alpha,representation.tiles,representation.wrap_time,environment.zone,representation.tilings,epsilon,experiment.step_duration,representation.which_tc,environment,algorithm
1743759033.821773,37,1,0.5148386359214783,0,-7091294343972981023,"[138.5    399.25   363.625  543.     373.3125 260.1875 160.5    358.25
 391.6875 680.9375 208.0625 359.1875 407.375  343.5625 325.5625 385.3125
 413.875  596.9375 489.0625 305.375   80.6875 502.3125 497.3125 187.75
 331.9375 298.75   453.5625 357.125  303.5    434.1875 361.375  343.
 206.25   363.5    506.5    419.375 ]",36,[0.39610115 0.52457035],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743759333.9339948,38,1,0.5245703458786011,0,-7091294343972981023,"[130.9375 268.4375 366.4375 553.     372.     263.     165.1875 360.8125
 397.6875 711.     212.0625 360.4375 408.375  360.5    322.5625 391.375
 427.1875 592.875  462.375  289.5     88.5625 494.8125 490.1875 166.5625
 322.3125 300.875  446.5625 276.6875 288.875  425.4375 368.9375 343.875
 208.75   382.0625 492.0625 413.875 ]",37,[0.39957338 0.31955576],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743759633.8142443,39,0,0.31955575942993164,0,-7091294343972981023,"[177.     265.6875 359.125  544.1875 379.1875 255.25   168.75   370.5
 285.625  699.3125 204.625  359.1875 403.375  360.     328.6875 393.5625
 409.125  580.5    462.5625 312.5625  83.875  507.9375 499.75   169.5
 336.625  353.6875 455.875  352.8125 266.1875 406.75   375.8125 345.125
 208.4375 393.5    537.375  415.875 ]",38,[0.4030456  0.36608088],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743759933.5589967,40,1,0.3660808801651001,0,-7091294343972981023,"[104.0625 242.1875 320.3125 474.5    249.9375 275.6875 138.375  340.
 370.875  637.75   197.5625 443.75   355.6875 372.1875 285.9375 408.25
 412.5625 548.5    426.6875 224.8125  97.125  485.3125 490.25   211.8125
 246.5    290.75   407.3125 253.375  248.375  412.375  367.75   332.6875
 216.6875 377.375  469.5    399.25  ]",39,[ 0.40651782 -0.18556495],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743760234.0168407,41,0,-0.18556495010852814,0,-7091294343972981023,"[153.5    276.9375 359.375  541.5    375.875  258.3125 161.625  365.5625
 387.6875 689.75   205.875  356.     394.375  347.5    312.25   385.875
 420.875  588.     512.25   292.0625  94.5625 498.5    477.6875 182.375
 318.125  309.9375 455.6875 272.875  262.4375 434.4375 376.8125 344.125
 207.5625 440.5625 544.     418.625 ]",40,[0.40999004 0.38427871],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743760533.9503362,42,3,0.38427871465682983,0,-7091294343972981023,"[100.125  362.3125 317.25   498.25   247.75   269.125  143.4375 330.6875
 270.625  645.125  207.125  448.125  374.1875 343.25   291.5625 409.4375
 389.3125 570.375  420.8125 240.1875  74.0625 461.375  479.6875 193.6875
 310.375  299.375  451.6875 326.375  237.1875 362.4375 354.25   341.8125
 203.75   418.625  461.1875 384.875 ]",41,[ 0.41346226 -0.06159601],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743760836.177888,43,1,-0.06159600988030434,0,-7091294343972981023,"[ 81.4375 236.375  348.6875 514.5625 419.8125 301.4375 169.9375 351.625
 388.75   554.8125 217.125  416.5625 390.625  350.5    299.4375 412.8125
 416.5    603.5625 468.0625 303.5625  91.75   460.25   506.4375 209.5
 349.     349.25   456.375  422.75   281.375  407.     407.625  401.5625
 234.375  436.125  518.4375 434.25  ]",42,[0.41693449 0.71615583],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743761134.0390756,44,0,0.7161558270454407,0,-7091294343972981023,"[168.1875 267.75   368.3125 545.9375 372.375  261.375  181.25   365.9375
 394.375  697.9375 197.5625 355.0625 405.375  365.875  314.25   386.6875
 416.875  580.25   472.4375 312.6875  88.75   481.1875 500.3125 172.75
 317.5625 310.3125 455.375  350.0625 292.4375 409.0625 378.625  346.6875
 208.4375 408.6875 516.5625 421.9375]",43,[0.42040671 0.45555958],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743761433.9436076,45,3,0.4555595815181732,0,-7091294343972981023,"[104.125  226.6875 325.25   483.0625 256.6875 284.625  143.3125 327.625
 285.875  561.25   219.625  450.4375 366.0625 349.625  294.1875 398.625
 404.5625 581.5    428.8125 269.9375  81.6875 480.0625 470.125  156.3125
 243.125  315.375  415.4375 262.5    234.5    427.75   365.9375 331.3125
 216.3125 421.1875 485.4375 395.4375]",44,[ 0.42387893 -0.07796872],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743761735.9771116,46,1,-0.07796872407197952,0,-7091294343972981023,"[ 85.1875 236.1875 346.75   514.6875 456.1875 305.3125 163.25   353.4375
 388.875  542.5625 219.625  414.875  389.0625 356.75   304.625  399.5625
 427.3125 584.3125 461.6875 296.6875  92.875  457.3125 425.25   308.8125
 352.125  359.5    452.6875 347.875  270.8125 383.1875 409.6875 496.6875
 224.875  437.8125 523.6875 435.125 ]",45,[0.42735115 0.73694861],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743762033.9331155,47,1,0.7369486093521118,0,-7091294343972981023,"[169.0625 263.375  365.125  540.5625 370.5625 255.0625 167.875  367.8125
 400.0625 697.3125 208.8125 356.1875 415.8125 441.1875 310.875  384.875
 418.5    588.125  470.5625 292.0625 103.8125 509.375  497.0625 192.9375
 314.9375 295.3125 458.6875 429.8125 310.875  420.875  388.1875 345.375
 208.875  423.5    497.125  423.0625]",46,[0.43082338 0.61270499],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743762334.3268557,48,1,0.6127049922943115,0,-7091294343972981023,"[175.9375 264.875  359.5    511.3125 370.9375 260.0625 173.     370.6875
 401.5625 701.75   211.375  351.4375 397.3125 436.6875 302.625  384.25
 409.6875 579.5    479.0625 298.0625  89.875  508.1875 467.125  173.25
 332.6875 307.75   464.375  367.6875 292.6875 407.9375 387.625  348.375
 215.6875 387.0625 502.4375 426.1875]",47,[0.4342956  0.51799065],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743762633.788622,49,1,0.5179906487464905,0,-7091294343972981023,"[156.3125 280.125  366.375  538.75   370.4375 259.6875 164.25   369.625
 395.4375 661.25   209.1875 353.0625 407.0625 432.     323.75   379.0625
 429.5625 603.3125 462.875  233.0625  95.875  496.0625 486.375  174.0625
 321.625  300.125  450.0625 424.375  279.875  422.5    370.9375 341.375
 205.5    387.6875 501.625  423.3125]",48,[0.43776782 0.50161618],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
